id,name,nameAr,nameKu,category,subcategory,governorate,city,address,phone,whatsapp,website,description,descriptionAr,descriptionKu,image_url,coverimage,openHours,pricerange,tags,lat,lng,rating,verified,status,source_name,external_source_id,confidence_score,created_by_agent
"bd476982-d39f-4556-b7ae-fbbb7e20c40d","Basra Fuel - Krmat Ali","","","general","","dhi qar","Krmat Ali","Street 9, Krmat Ali, Dhi Qar","+9647702202068","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"f3f6620b-b66f-4256-b7b9-3c7ee15834a1","Baghdad Furniture 4 - Diwaniyah","","","general","","qadisiyyah","Diwaniyah","Street 21, Diwaniyah, Qadisiyyah","+9647903732080","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"bba442d3-0ea1-4599-892b-2b1b5929ca22","Classic Wear - Pirde","","","general","","erbil","Pirde","Street 10, Pirde, Erbil","+9647904519528","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"f5efe3fe-ae36-496f-9683-427fe2f1d995","Erbil Espresso - Kifl","","","cafe","","babil","Kifl","Street 7, Kifl, Babil","+9647901100836","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"78cb1f1f-9633-4bf3-8a08-6e28598be60b","Dijla Restaurant 3 - Al-Multaqa","","","dining","","kirkuk","Al-Multaqa","Street 15, Al-Multaqa, Kirkuk","+9647811164729","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"078b2b07-c518-4fcb-a1bb-68d08b1bc678","Imam Ali Shrine 4 - Sirwan","","","general","","halabja","Sirwan","Street 23, Sirwan, Halabja","+9647701454625","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"26775daa-264b-4b18-8bb6-3daee4d7ca61","Baghdad Academy 4 - Al-Aziziyah","","","education","","wasit","Al-Aziziyah","Street 22, Al-Aziziyah, Wasit","+9647702938662","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"022c4b5b-3a90-4610-9380-0a121c7a64e0","Progress Academy 3 - Sawa","","","education","","babil","Sawa","Street 20, Sawa, Babil","+9647811495590","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"539084ec-f039-48d0-84d8-c82468dec797","Basra Cafe 3 - Rabiya","","","cafe","","mosul","Rabiya","Street 18, Rabiya, Mosul","+9647821126129","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"432914a3-4486-4f73-a294-6a89c1fc9a2d","Palmera Coffee 3 - Tel Afar","","","cafe","","mosul","Tel Afar","Street 12, Tel Afar, Mosul","+9647901730152","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"23c20a5b-d0b2-4da6-83af-4e5f420d598a","Tech City Baghdad 4 - Sulaymaniyah City","","","general","","sulaymaniyah","Sulaymaniyah City","Street 21, Sulaymaniyah City, Sulaymaniyah","+9647901861900","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"511f070e-597e-4d06-828c-c95047492a52","Erbil Pharmacy - Al-Jubba","","","pharmacy","","karbala","Al-Jubba","Street 7, Al-Jubba, Karbala","+9647811921992","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"7542b896-744c-4e7f-816c-837b34ad279d","Karrada Grill 3 - Smawa","","","dining","","dhi qar","Smawa","Street 20, Smawa, Dhi Qar","+9647902351483","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"381f8f11-614d-4a99-b2d3-ae439c7150b8","Al-Mustansiriya School - Kirkuk City","","","education","","kirkuk","Kirkuk City","Street 1, Kirkuk City, Kirkuk","+9647903863751","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"a8349277-ff24-40af-bdab-b64eeec4fd29","Erbil Fashion - Halabja","","","general","","sulaymaniyah","Halabja","Street 3, Halabja, Sulaymaniyah","+9647902240860","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"8657981f-936f-4df0-a9a1-4684fc6d4e77","Kirkuk Terminal - Rabiya","","","general","","mosul","Rabiya","Street 8, Rabiya, Mosul","+9647903831557","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"76ef3cfe-f1ab-4285-8231-6a62c25de157","Al-Zawraa Cafe 4 - Al-Hayy","","","cafe","","wasit","Al-Hayy","Street 23, Al-Hayy, Wasit","+9647801230490","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
"898bba7e-8076-450c-b3fd-341010f8762e","Imam Ali Shrine - Muqdadiyah","","","general","","diyala","Muqdadiyah","Street 3, Muqdadiyah, Diyala","+9647821901191","","","","","","","","","","","","","","","approved","csv_import","","0.5",""
